,node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
8068,N3470|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,200000000.0,0.0,0.0,15961.69193934557,9.0826772344511e-05
8069,N3471|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,510000000.0,0.0,0.0,4.8939194727451286e-05
8070,N3471|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,510000000.0,0.0,0.0,40702.314445331205,9.0826772344511e-05
8071,N2116|B106,1,0,0.0,0.00018241933644966364,0.00011548940369811764,1,0,0.0,0.00022402374651713078,8.426461027845721e-05,30000000000.0,0.0,0.0,3563383.188128897,7.166937492990923e-05
8072,N2116|B105,1,0,0.0,0.00018241933644966364,0.00011548940369811764,3,0,0.0,0.0004209676994992238,0.0001546135343835437,155000000000.0,0.0,0.0,5090996.654298232,0.00016637845910681738
8073,N3472|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,2000000000.0,0.0,0.0,4.8939194727451286e-05
8074,N7695|B106,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,2000000000.0,0.0,0.0,159616.91939345567,9.0826772344511e-05
8075,N3473|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,1355640780.0,0.0,0.0,4.8939194727451286e-05
8076,N7696|B3,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,2,0,0.0,0.0001596169193934557,9.108701140707776e-05,1355640780.0,0.0,0.0,108191.6025538707,9.0826772344511e-05
8077,N2638|B3,1,0,0.0,0.00014365522745411015,0.00010602522403508482,4,0,0.0,0.00034477254588986437,0.0001398400552736881,6550000000.0,0.0,0.0,630030.0081233465,0.00014711552360060332
8078,N2638|B4,1,0,0.0,0.00014365522745411015,0.00010602522403508482,1,0,0.0,0.00016575603167781942,7.17776249878575e-05,1000000000.0,0.0,0.0,195074.99549826933,6.392794722716915e-05
8079,N3474|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,225000000.0,0.0,0.0,4.8939194727451286e-05
8080,N7697|B105,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,225000000.0,0.0,0.0,17956.903431763767,9.0826772344511e-05
8081,N3475|B1,0,2,0.0,0.0,4.9200840533819036e-05,0,17,0.0,0.0,4.909014822591398e-05,0.0,21416009955.0,0.0,0.0,4.8939194727451286e-05
8082,N3475|B4,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,5.1560551942453026e-05,1762009955.0,0.0,0.0,140623.30047885075,5.238551030664548e-05
8083,N3476|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,10,0.0,0.0,4.909014822591398e-05,0.0,728600000.0,0.0,0.0,4.8939194727451286e-05
8084,N3476|B104,2,0,0.0,0.00017956903431763768,0.00016914202875163082,11,0,0.0,0.00027626005279636566,0.00016880413490251843,1914992157.0,0.0,0.0,212932.76147830187,0.00016835310183947586
8085,N7698|B4,1,0,0.0,0.00014365522745411015,0.00014495688323847537,2,0,0.0,0.0002052217535058716,0.00014466740187849317,3850000000.0,0.0,0.0,103106.46721648249,0.0001512861632615525
8086,N3477|B1,0,2,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,541800000.0,0.0,0.0,4.8939194727451286e-05
8087,N7699|B11,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,425800000.0,0.0,0.0,33982.44213886671,8.185859404333175e-05
8088,N3478|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,500000000.0,0.0,0.0,4.8939194727451286e-05
8089,N7700|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,500000000.0,0.0,0.0,39904.22984836392,9.0826772344511e-05
8090,N903|B104,1,0,0.0,0.00010641127959563712,0.00012706415894060016,4,0,0.0,0.0004788507581803671,0.0001268072717213547,502500000.0,0.0,0.0,72823.23662293218,0.00012646552422241613
8091,N3479|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,150000000.0,0.0,0.0,4.8939194727451286e-05
8092,N3479|B8,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,150000000.0,0.0,0.0,11971.268954509176,9.0826772344511e-05
