entity,in_degree,out_degree,total_degree
N5303 (B4),0.0,1.0,1.0
N4112 (B48),0.0,1.0,1.0
N5304 (B24),0.0,1.0,1.0
N5305 (B3),0.0,2.0,2.0
N5306 (B3),0.0,3.0,3.0
N403 (B4),0.0,1.0,1.0
N404 (B3),0.0,1.0,1.0
N5307 (B17),0.0,1.0,1.0
N405 (B30),0.0,4.0,4.0
N5308 (B16),0.0,4.0,4.0
N5309 (B22),0.0,1.0,1.0
N408 (B11),0.0,1.0,1.0
N409 (B4),0.0,1.0,1.0
N410 (B7),0.0,1.0,1.0
N5310 (B3),0.0,1.0,1.0
N412 (B4),0.0,1.0,1.0
N5311 (B50),0.0,2.0,2.0
N414 (B61),0.0,1.0,1.0
N5312 (B29),0.0,1.0,1.0
N5313 (B3),0.0,2.0,2.0
N5314 (B22),0.0,1.0,1.0
N418 (B3),0.0,1.0,1.0
N419 (B4),0.0,1.0,1.0
N5315 (B3),0.0,1.0,1.0
N5316 (B4),0.0,1.0,1.0
N5317 (B4),0.0,1.0,1.0
N423 (B11),0.0,1.0,1.0
N5318 (B30),0.0,1.0,1.0
N5319 (B5),0.0,1.0,1.0
N5320 (B4),0.0,2.0,2.0
N5321 (B3),0.0,1.0,1.0
N5322 (B13),0.0,2.0,2.0
N430 (B3),0.0,1.0,1.0
N5323 (B5),0.0,1.0,1.0
N308 (B3),0.0,2.0,2.0
N432 (B4),1.0,1.0,2.0
N432 (B20),1.0,1.0,2.0
N5324 (B4),0.0,1.0,1.0
N433 (B16),0.0,1.0,1.0
N434 (B3),0.0,1.0,1.0
N435 (B3),0.0,1.0,1.0
N5325 (B6),0.0,1.0,1.0
N1220 (B4),1.0,1.0,2.0
N438 (B14),0.0,1.0,1.0
N5326 (B3),0.0,1.0,1.0
N442 (B30),0.0,1.0,1.0
N5327 (B62),0.0,2.0,2.0
N443 (B14),0.0,1.0,1.0
N5328 (B5),0.0,1.0,1.0
N5329 (B54),0.0,1.0,1.0
N5330 (B63),0.0,1.0,1.0
N447 (B3),0.0,1.0,1.0
N448 (B8),0.0,1.0,1.0
N449 (B14),0.0,1.0,1.0
N450 (B11),0.0,1.0,1.0
N5331 (B4),0.0,1.0,1.0
N5332 (B3),0.0,2.0,2.0
N5333 (B4),0.0,1.0,1.0
N1859 (B4),2.0,2.0,4.0
N5334 (B3),0.0,1.0,1.0
N453 (B11),0.0,1.0,1.0
N5335 (B39),0.0,1.0,1.0
N5336 (B64),0.0,1.0,1.0
N666 (B4),0.0,4.0,4.0
N5337 (B4),0.0,3.0,3.0
N5338 (B7),0.0,1.0,1.0
N5339 (B3),0.0,1.0,1.0
N459 (B10),0.0,1.0,1.0
N4757 (B16),0.0,3.0,3.0
N5340 (B17),0.0,3.0,3.0
N5341 (B17),0.0,1.0,1.0
N463 (B4),0.0,1.0,1.0
N5342 (B11),0.0,1.0,1.0
N5343 (B5),0.0,1.0,1.0
N465 (B4),0.0,1.0,1.0
N5344 (B13),0.0,1.0,1.0
